123
         408894 function calls (408463 primitive calls) in 2.293 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:411(WorkingSet)
        1    0.000    0.000    0.024    0.024 pkg_resources.py:414(__init__)
       52    0.001    0.000    0.044    0.001 pkg_resources.py:428(add_entry)
        4    0.000    0.000    0.000    0.000 pkg_resources.py:44(_declare_state)
       29    0.000    0.000    0.000    0.000 pkg_resources.py:493(__iter__)
       56    0.001    0.000    0.002    0.000 pkg_resources.py:506(add)
        1    0.000    0.000    0.005    0.005 pkg_resources.py:673(subscribe)
       28    0.000    0.000    0.000    0.000 pkg_resources.py:681(_added_new)
        1    0.000    0.000    0.010    0.010 pkg_resources.py:698(Environment)
        1    0.000    0.000    0.010    0.010 pkg_resources.py:83(get_supported_platform)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:844(ExtractionError)
